pair_id,resume_id,jd_id,track_resume,track_jd,resume_text,jd_text,resume_skills,jd_skills,exp_years_resume,exp_years_req,edu_resume,edu_req,skill_score,experience_score,education_score,bert_proxy,ats_proxy,label_match,competence_level,competence_label,split,reviewer_label_match,reviewer_competence,reviewer_notes
P001447,R00361,J00090,frontend,backend,"Summary: Results-driven developer with 5 years of hands-on industry experience.
Technical Skills: angular, css, express, git, github, react, sql.
Experience: Worked for 5 years as a software engineer delivering production systems.
Education: M.Tech in Software Engineering.
","Job Title: Backend Developer
Requirements: Strong background in aws, django, docker, mysql, postgresql.
Experience: Minimum 2 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",angular;css;express;git;github;react;sql,aws;django;docker;mysql;postgresql,5,2,master,master,0.0,100.0,100.0,32.34,43.08,0,0,Weak,val,,,
P000229,R00057,J00172,data_ml,data_ml,"Summary: Motivated engineer with 5 years of experience across full project lifecycles.
Technical Skills: aws, git, linux, machine learning, mysql, pandas, postgresql, pytorch, scikit-learn, tensorflow.
Experience: 5 years of professional experience including design, testing and deployment.
Education: B.Tech in Computer Science.
","Job Title: ML Engineer
Requirements: Strong background in docker, pandas, postgresql, pytorch, scikit-learn.
Experience: Minimum 2 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;git;linux;machine learning;mysql;pandas;postgresql;pytorch;scikit-learn;tensorflow,docker;pandas;postgresql;pytorch;scikit-learn,5,2,bachelor,master,80.0,100.0,0.0,86.18,73.54,1,2,Good,train,,,
P000776,R00194,J00019,fullstack,fullstack,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: aws, docker, express, javascript, linux, python, sql, typescript.
Experience: Academic projects and internships covering design and implementation.
Education: BCA in Computer Applications.
","Job Title: Full Stack Developer
Requirements: Strong background in docker, express, react, typescript.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;express;javascript;linux;python;sql;typescript,docker;express;react;typescript,0,1,bachelor,bachelor,75.0,0.0,100.0,86.5,66.62,1,1,Average,train,,,
P001236,R00309,J00099,fullstack,fullstack,"Summary: Results-driven developer with 3 years of hands-on industry experience.
Technical Skills: aws, docker, express, git, javascript, linux, mongodb, node, python, typescript.
Experience: Worked for 3 years as a software engineer delivering production systems.
Education: BCA in Computer Applications.
","Job Title: Full Stack Developer
Requirements: Strong background in docker, express, git, javascript, node, react.
Experience: Minimum 2 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;express;git;javascript;linux;mongodb;node;python;typescript,docker;express;git;javascript;node;react,3,2,bachelor,bachelor,83.33,100.0,100.0,94.62,91.99,1,3,Strong,test,,,
P002582,R00645,J00156,backend,frontend,"Summary: Results-driven developer with 3 years of hands-on industry experience.
Technical Skills: aws, django, docker, flask, git, postgresql, python, spring, spring boot, sql.
Experience: 3 years of professional experience including design, testing and deployment.
Education: Bachelor of Science in Information Technology.
","Job Title: Frontend Developer
Requirements: Strong background in angular, css, express, typescript, vue.
Experience: Minimum 3 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;django;docker;flask;git;postgresql;python;spring;spring boot;sql,angular;css;express;typescript;vue,3,3,bachelor,master,0.0,100.0,0.0,36.65,29.16,0,0,Weak,train,,,
P000017,R00004,J00169,fullstack,fullstack,"Summary: Motivated engineer with 5 years of experience across full project lifecycles.
Technical Skills: aws, express, git, mongodb, node, python, react, sql, typescript.
Experience: Worked for 5 years as a software engineer delivering production systems.
Education: MCA in Computer Applications.
","Job Title: Full Stack Developer
Requirements: Strong background in express, javascript, python, react.
Experience: Minimum 2 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;express;git;mongodb;node;python;react;sql;typescript,express;javascript;python;react,5,2,master,master,75.0,100.0,100.0,86.21,86.55,1,3,Strong,train,,,
P001127,R00281,J00167,frontend,data_ml,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: angular, express, git, github, javascript, node, sql, vue.
Experience: Academic projects and internships covering design and implementation.
Education: B.Tech in Computer Science.
","Job Title: ML Engineer
Requirements: Strong background in aws, deep learning, git, machine learning, postgresql, scikit-learn, tensorflow.
Experience: Minimum 1 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",angular;express;git;github;javascript;node;sql;vue,aws;deep learning;git;machine learning;postgresql;scikit-learn;tensorflow,0,1,bachelor,none,14.29,0.0,100.0,50.53,33.35,0,0,Weak,val,,,
P000170,R00042,J00076,data_ml,frontend,"Summary: Software engineer with 5 years of experience building scalable applications.
Technical Skills: aws, deep learning, git, mysql, pytorch, sql, tensorflow.
Experience: Total of 5 years experience in software development and team collaboration.
Education: Master of Science in Data Science.
","Job Title: Frontend Developer
Requirements: Strong background in angular, css, javascript, node, react.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;deep learning;git;mysql;pytorch;sql;tensorflow,angular;css;javascript;node;react,5,1,master,bachelor,0.0,100.0,100.0,42.22,45.56,0,0,Weak,train,,,
P002247,R00561,J00118,frontend,devops,"Summary: Motivated engineer with 3 years of experience across full project lifecycles.
Technical Skills: angular, css, express, git, javascript, node, react, typescript, vue.
Experience: 3 years of professional experience including design, testing and deployment.
Education: MCA in Computer Applications.
","Job Title: DevOps Engineer
Requirements: Strong background in aws, azure, docker, git, kubernetes, linux, sql.
Experience: Minimum 3 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",angular;css;express;git;javascript;node;react;typescript;vue,aws;azure;docker;git;kubernetes;linux;sql,3,3,master,none,14.29,100.0,100.0,53.02,53.97,0,1,Average,train,,,
P001091,R00272,J00041,data_ml,frontend,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: aws, machine learning, mysql, numpy, pandas, python, pytorch, sql, tensorflow.
Experience: Academic projects and internships covering design and implementation.
Education: Master of Science in Data Science.
","Job Title: Frontend Developer
Requirements: Strong background in angular, css, node, typescript.
Experience: Minimum 2 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;machine learning;mysql;numpy;pandas;python;pytorch;sql;tensorflow,angular;css;node;typescript,0,2,master,master,0.0,0.0,100.0,38.39,24.6,0,0,Weak,train,,,
P000605,R00151,J00136,frontend,frontend,"Summary: Motivated engineer with 3 years of experience across full project lifecycles.
Technical Skills: angular, css, git, html, javascript, linux, react.
Experience: Worked for 3 years as a software engineer delivering production systems.
Education: B.Tech in Computer Science.
","Job Title: Frontend Developer
Requirements: Strong background in angular, css, git, github, typescript, vue.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",angular;css;git;html;javascript;linux;react,angular;css;git;github;typescript;vue,3,1,bachelor,bachelor,50.0,100.0,100.0,74.94,73.74,1,2,Good,train,,,
P001457,R00364,J00119,fullstack,fullstack,"Summary: Results-driven developer with 2 years of hands-on industry experience.
Technical Skills: aws, docker, express, git, javascript, node, python.
Experience: Total of 2 years experience in software development and team collaboration.
Education: BCA in Computer Applications.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, git, mongodb, react, sql, typescript.
Experience: Minimum 4 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;docker;express;git;javascript;node;python,aws;git;mongodb;react;sql;typescript,2,4,bachelor,master,33.33,50.0,0.0,67.79,40.28,0,0,Weak,train,,,
P002005,R00501,J00126,frontend,frontend,"Summary: Results-driven developer with 1 years of hands-on industry experience.
Technical Skills: angular, express, github, html, javascript, node, typescript.
Experience: Total of 1 years experience in software development and team collaboration.
Education: BCA in Computer Applications.
","Job Title: Frontend Developer
Requirements: Strong background in angular, css, html, node, typescript, vue.
Experience: Minimum 2 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",angular;express;github;html;javascript;node;typescript,angular;css;html;node;typescript;vue,1,2,bachelor,bachelor,66.67,50.0,100.0,76.21,70.72,1,2,Good,train,,,
P002895,R00723,J00159,devops,fullstack,"Summary: Motivated engineer with 5 years of experience across full project lifecycles.
Technical Skills: aws, azure, docker, kubernetes, linux, sql.
Experience: Total of 5 years experience in software development and team collaboration.
Education: PhD in Machine Learning.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, docker, git, node, python, sql, typescript.
Experience: Minimum 1 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;azure;docker;kubernetes;linux;sql,aws;docker;git;node;python;sql;typescript,5,1,phd,master,42.86,100.0,100.0,65.35,68.48,1,1,Average,test,,,
P002852,R00713,J00178,devops,devops,"Summary: Results-driven developer with 6 years of hands-on industry experience.
Technical Skills: aws, azure, docker, gcp, kubernetes, linux.
Experience: Worked for 6 years as a software engineer delivering production systems.
Education: BCA in Computer Applications.
","Job Title: DevOps Engineer
Requirements: Strong background in aws, azure, docker, kubernetes, linux.
Experience: Minimum 3 years of relevant experience required.
Education: PhD or doctorate preferred.
",aws;azure;docker;gcp;kubernetes;linux,aws;azure;docker;kubernetes;linux,6,3,bachelor,phd,100.0,100.0,0.0,100.0,85.0,1,3,Strong,test,,,
P002645,R00661,J00171,frontend,frontend,"Summary: Software engineer with 5 years of experience building scalable applications.
Technical Skills: angular, git, github, html, javascript, react, typescript.
Experience: 5 years of professional experience including design, testing and deployment.
Education: MCA in Computer Applications.
","Job Title: Frontend Developer
Requirements: Strong background in git, github, typescript, vue.
Experience: Minimum 5 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",angular;git;github;html;javascript;react;typescript,git;github;typescript;vue,5,5,master,master,75.0,100.0,100.0,84.27,86.07,1,3,Strong,train,,,
P000289,R00072,J00047,data_ml,data_ml,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: deep learning, git, numpy, pandas, sql, tensorflow.
Experience: Academic projects and internships covering design and implementation.
Education: M.Tech in Software Engineering.
","Job Title: ML Engineer
Requirements: Strong background in docker, git, mysql, pandas, sql.
Experience: Minimum 2 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",deep learning;git;numpy;pandas;sql;tensorflow,docker;git;mysql;pandas;sql,0,2,master,bachelor,60.0,0.0,100.0,75.22,57.81,0,1,Average,test,,,
P000486,R00121,J00131,frontend,frontend,"Summary: Motivated engineer with 3 years of experience across full project lifecycles.
Technical Skills: angular, css, github, html, node, react, typescript, vue.
Experience: Total of 3 years experience in software development and team collaboration.
Education: PhD in Machine Learning.
","Job Title: Frontend Developer
Requirements: Strong background in css, express, github, javascript, node.
Experience: Minimum 2 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",angular;css;github;html;node;react;typescript;vue,css;express;github;javascript;node,3,2,phd,none,60.0,100.0,100.0,78.13,78.53,1,2,Good,train,,,
P002185,R00546,J00046,frontend,frontend,"Summary: Motivated engineer with 2 years of experience across full project lifecycles.
Technical Skills: angular, css, express, git, github, html, javascript, node, react, vue.
Experience: Worked for 2 years as a software engineer delivering production systems.
Education: MCA in Computer Applications.
","Job Title: Frontend Developer
Requirements: Strong background in express, git, html, node, react, typescript.
Experience: Minimum 3 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",angular;css;express;git;github;html;javascript;node;react;vue,express;git;html;node;react;typescript,2,3,master,none,83.33,66.67,100.0,87.07,83.43,1,2,Good,train,,,
P001421,R00355,J00060,backend,backend,"Summary: Results-driven developer with 4 years of hands-on industry experience.
Technical Skills: django, docker, flask, git, java, mongodb, mysql.
Experience: Worked for 4 years as a software engineer delivering production systems.
Education: BCA in Computer Applications.
","Job Title: Backend Developer
Requirements: Strong background in aws, docker, fastapi, java, mysql, python, spring boot.
Experience: Minimum 1 years of relevant experience required.
Education: PhD or doctorate preferred.
",django;docker;flask;git;java;mongodb;mysql,aws;docker;fastapi;java;mysql;python;spring boot,4,1,bachelor,phd,42.86,100.0,0.0,66.78,53.84,0,1,Average,test,,,
P001811,R00452,J00024,data_ml,fullstack,"Summary: Motivated engineer with 1 years of experience across full project lifecycles.
Technical Skills: deep learning, machine learning, mysql, numpy, pandas, python, pytorch, sql.
Experience: Worked for 1 years as a software engineer delivering production systems.
Education: B.Tech in Computer Science.
","Job Title: Full Stack Developer
Requirements: Strong background in docker, git, javascript, mongodb, sql.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",deep learning;machine learning;mysql;numpy;pandas;python;pytorch;sql,docker;git;javascript;mongodb;sql,1,1,bachelor,bachelor,20.0,100.0,100.0,52.75,56.19,0,1,Average,train,,,
P000495,R00123,J00120,devops,backend,"Summary: Motivated engineer with 4 years of experience across full project lifecycles.
Technical Skills: docker, github, linux, python, sql.
Experience: Total of 4 years experience in software development and team collaboration.
Education: MCA in Computer Applications.
","Job Title: Backend Developer
Requirements: Strong background in django, flask, java, linux, spring, spring boot, sql.
Experience: Minimum 2 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",docker;github;linux;python;sql,django;flask;java;linux;spring;spring boot;sql,4,2,master,none,28.57,100.0,100.0,51.52,59.31,0,1,Average,train,,,
P001094,R00273,J00108,devops,devops,"Summary: Results-driven developer with 4 years of hands-on industry experience.
Technical Skills: aws, azure, docker, gcp, git, github, linux, python, sql.
Experience: Worked for 4 years as a software engineer delivering production systems.
Education: PhD in Machine Learning.
","Job Title: DevOps Engineer
Requirements: Strong background in docker, gcp, github, linux.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;azure;docker;gcp;git;github;linux;python;sql,docker;gcp;github;linux,4,1,phd,bachelor,100.0,100.0,100.0,96.36,99.09,1,3,Strong,train,,,
P003114,R00778,J00010,devops,backend,"Summary: Motivated engineer with 3 years of experience across full project lifecycles.
Technical Skills: aws, azure, gcp, git, github, kubernetes, linux, python, sql.
Experience: Worked for 3 years as a software engineer delivering production systems.
Education: M.Tech in Software Engineering.
","Job Title: Backend Developer
Requirements: Strong background in docker, java, linux, mongodb, spring.
Experience: Minimum 4 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",aws;azure;gcp;git;github;kubernetes;linux;python;sql,docker;java;linux;mongodb;spring,3,4,master,none,20.0,75.0,100.0,47.29,49.82,0,0,Weak,train,,,
P002069,R00517,J00032,data_ml,data_ml,"Summary: Software engineer with 4 years of experience building scalable applications.
Technical Skills: deep learning, docker, git, machine learning, pandas, postgresql, python, pytorch, scikit-learn, sql.
Experience: Worked for 4 years as a software engineer delivering production systems.
Education: MCA in Computer Applications.
","Job Title: ML Engineer
Requirements: Strong background in deep learning, mysql, numpy, postgresql, python, scikit-learn, tensorflow.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",deep learning;docker;git;machine learning;pandas;postgresql;python;pytorch;scikit-learn;sql,deep learning;mysql;numpy;postgresql;python;scikit-learn;tensorflow,4,1,master,bachelor,57.14,100.0,100.0,79.74,77.79,1,2,Good,test,,,
P000332,R00083,J00193,devops,devops,"Summary: Software engineer with 3 years of experience building scalable applications.
Technical Skills: aws, docker, gcp, git, github, kubernetes, linux, python, sql.
Experience: Worked for 3 years as a software engineer delivering production systems.
Education: B.Tech in Computer Science.
","Job Title: DevOps Engineer
Requirements: Strong background in azure, docker, gcp, github, kubernetes, linux, sql.
Experience: Minimum 1 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",aws;docker;gcp;git;github;kubernetes;linux;python;sql,azure;docker;gcp;github;kubernetes;linux;sql,3,1,bachelor,none,85.71,100.0,100.0,85.33,90.62,1,3,Strong,train,,,
P002203,R00550,J00102,backend,data_ml,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: aws, django, git, mysql, postgresql, python, spring boot, sql.
Experience: Academic projects and internships covering design and implementation.
Education: B.Tech in Computer Science.
","Job Title: ML Engineer
Requirements: Strong background in docker, git, machine learning, numpy, pytorch, sql, tensorflow.
Experience: Minimum 4 years of relevant experience required.
Education: PhD or doctorate preferred.
",aws;django;git;mysql;postgresql;python;spring boot;sql,docker;git;machine learning;numpy;pytorch;sql;tensorflow,0,4,bachelor,phd,28.57,0.0,0.0,53.61,24.83,0,0,Weak,train,,,
P001491,R00372,J00057,data_ml,data_ml,"Summary: Results-driven developer with 4 years of hands-on industry experience.
Technical Skills: docker, git, machine learning, mysql, pandas, pytorch, sql, tensorflow.
Experience: Total of 4 years experience in software development and team collaboration.
Education: MCA in Computer Applications.
","Job Title: ML Engineer
Requirements: Strong background in aws, deep learning, docker, numpy, python, sql, tensorflow.
Experience: Minimum 4 years of relevant experience required.
Education: PhD or doctorate preferred.
",docker;git;machine learning;mysql;pandas;pytorch;sql;tensorflow,aws;deep learning;docker;numpy;python;sql;tensorflow,4,4,master,phd,42.86,100.0,0.0,75.15,55.93,0,1,Average,train,,,
P000256,R00064,J00114,fullstack,fullstack,"Summary: Results-driven developer with 2 years of hands-on industry experience.
Technical Skills: aws, docker, express, python, react, sql, typescript.
Experience: Total of 2 years experience in software development and team collaboration.
Education: PhD in Machine Learning.
","Job Title: Full Stack Developer
Requirements: Strong background in git, node, react, sql.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;express;python;react;sql;typescript,git;node;react;sql,2,1,phd,bachelor,50.0,100.0,100.0,84.66,76.16,1,2,Good,train,,,
P000900,R00225,J00170,backend,backend,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: django, docker, fastapi, flask, linux, python, spring, spring boot, sql.
Experience: Academic projects and internships covering design and implementation.
Education: MCA in Computer Applications.
","Job Title: Backend Developer
Requirements: Strong background in aws, linux, mysql, postgresql, spring, spring boot, sql.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",django;docker;fastapi;flask;linux;python;spring;spring boot;sql,aws;linux;mysql;postgresql;spring;spring boot;sql,0,1,master,bachelor,57.14,0.0,100.0,67.06,54.62,0,1,Average,train,,,
P003027,R00756,J00157,frontend,data_ml,"Summary: Results-driven developer with 8 years of hands-on industry experience.
Technical Skills: angular, css, html, javascript, linux, sql, typescript.
Experience: 8 years of professional experience including design, testing and deployment.
Education: BCA in Computer Applications.
","Job Title: ML Engineer
Requirements: Strong background in aws, docker, git, numpy, pandas, pytorch.
Experience: Minimum 2 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",angular;css;html;javascript;linux;sql;typescript,aws;docker;git;numpy;pandas;pytorch,8,2,bachelor,master,0.0,100.0,0.0,42.44,30.61,0,0,Weak,train,,,
P000538,R00134,J00083,fullstack,devops,"Summary: Software engineer with 8 years of experience building scalable applications.
Technical Skills: aws, docker, javascript, mongodb, node, python, react, sql, typescript.
Experience: Total of 8 years experience in software development and team collaboration.
Education: M.Tech in Software Engineering.
","Job Title: DevOps Engineer
Requirements: Strong background in azure, docker, gcp, git, linux, sql.
Experience: Minimum 3 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;javascript;mongodb;node;python;react;sql;typescript,azure;docker;gcp;git;linux;sql,8,3,master,bachelor,33.33,100.0,100.0,54.87,62.05,1,1,Average,train,,,
P001289,R00322,J00177,data_ml,data_ml,"Summary: Motivated engineer with 2 years of experience across full project lifecycles.
Technical Skills: aws, docker, linux, mysql, numpy, scikit-learn.
Experience: Total of 2 years experience in software development and team collaboration.
Education: PhD in Machine Learning.
","Job Title: ML Engineer
Requirements: Strong background in deep learning, machine learning, numpy, pandas, sql.
Experience: Minimum 4 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;docker;linux;mysql;numpy;scikit-learn,deep learning;machine learning;numpy;pandas;sql,2,4,phd,master,20.0,50.0,100.0,67.57,49.89,0,0,Weak,train,,,
P001748,R00437,J00002,data_ml,data_ml,"Summary: Motivated engineer with 6 years of experience across full project lifecycles.
Technical Skills: deep learning, docker, numpy, pandas, scikit-learn, sql.
Experience: Worked for 6 years as a software engineer delivering production systems.
Education: BCA in Computer Applications.
","Job Title: ML Engineer
Requirements: Strong background in deep learning, mysql, pytorch, sql, tensorflow.
Experience: Minimum 4 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",deep learning;docker;numpy;pandas;scikit-learn;sql,deep learning;mysql;pytorch;sql;tensorflow,6,4,bachelor,bachelor,40.0,100.0,100.0,62.83,66.71,1,1,Average,train,,,
P002968,R00742,J00132,data_ml,data_ml,"Summary: Results-driven developer with 7 years of hands-on industry experience.
Technical Skills: aws, docker, git, numpy, scikit-learn, sql.
Experience: Total of 7 years experience in software development and team collaboration.
Education: BCA in Computer Applications.
","Job Title: ML Engineer
Requirements: Strong background in aws, deep learning, docker, postgresql.
Experience: Minimum 3 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",aws;docker;git;numpy;scikit-learn;sql,aws;deep learning;docker;postgresql,7,3,bachelor,none,50.0,100.0,100.0,75.27,73.82,1,2,Good,train,,,
P000642,R00160,J00073,backend,devops,"Summary: Results-driven developer with 5 years of hands-on industry experience.
Technical Skills: django, flask, git, linux, mongodb, mysql, python, spring boot.
Experience: Worked for 5 years as a software engineer delivering production systems.
Education: Bachelor of Science in Information Technology.
","Job Title: DevOps Engineer
Requirements: Strong background in azure, github, kubernetes, python, sql.
Experience: Minimum 3 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",django;flask;git;linux;mongodb;mysql;python;spring boot,azure;github;kubernetes;python;sql,5,3,bachelor,none,20.0,100.0,100.0,51.74,55.93,0,1,Average,train,,,
